         255434 function calls (248113 primitive calls) in 0.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 poolmanager.py:306(connection_from_context)
       55    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1542(_IPv4Constants)
        1    0.000    0.000    0.001    0.001 abc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
      332    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
        2    0.000    0.000    0.001    0.000 client.py:231(_parse_header_lines)
        2    0.000    0.000    0.001    0.000 request.py:2542(proxy_bypass_environment)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _polybase.py:1(<module>)
     2357    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      412    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
       55    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.001    0.000 parser.py:56(parsestr)
       28    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
      198    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.001    0.001 runners.py:86(run)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
      332    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       19    0.000    0.000    0.001    0.000 ipaddress.py:1475(__init__)
        3    0.000    0.000    0.001    0.000 argparse.py:1364(__init__)
        1    0.000    0.000    0.001    0.001 message.py:135(Message)
     1148    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1716    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.001    0.000 parser.py:41(parse)
        3    0.000    0.000    0.001    0.000 gettext.py:616(gettext)
      347    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        3    0.000    0.000    0.001    0.000 gettext.py:578(dgettext)
        2    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
      340    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       52    0.000    0.000    0.001    0.000 core.py:894(__init__)
        3    0.000    0.000    0.001    0.000 gettext.py:519(translation)
        2    0.000    0.000    0.001    0.000 poolmanager.py:331(connection_from_pool_key)
      547    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
        3    0.000    0.000    0.001    0.000 gettext.py:479(find)
       14    0.000    0.000    0.001    0.000 sessions.py:61(merge_setting)
      272    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
    379/1    0.001    0.000    0.001    0.001 __config__.py:19(_cleanup)
      188    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:360(_get_scalar_type_map)
      106    0.000    0.000    0.001    0.000 __init__.py:164(match)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       43    0.000    0.000    0.001    0.000 ipaddress.py:1886(__init__)
        1    0.000    0.000    0.001    0.001 base_events.py:651(run_until_complete)
        1    0.000    0.000    0.001    0.001 timeouts.py:26(Timeout)
      338    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      861    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
     1606    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
  348/267    0.000    0.000    0.001    0.000 typing.py:1258(__hash__)
      332    0.000    0.000    0.001    0.000 <frozen os>:703(__iter__)
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
      367    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
      384    0.000    0.000    0.001    0.000 socket.py:94(<lambda>)
      121    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.001    0.001 encoders.py:1(<module>)
        2    0.000    0.000    0.001    0.000 poolmanager.py:230(_new_pool)
       12    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.001    0.001 typing.py:2815(NamedTuple)
        2    0.000    0.000    0.001    0.000 models.py:887(content)
      848    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      605    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.001    0.001 base_events.py:627(run_forever)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
        1    0.000    0.000    0.001    0.001 streams.py:1(<module>)
       20    0.000    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.001    0.001 selector_events.py:1(<module>)
      500    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      436    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      391    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      561    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.001    0.000 connectionpool.py:178(__init__)
        4    0.000    0.000    0.001    0.000 models.py:812(generate)
       62    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
        1    0.000    0.000    0.001    0.001 base_events.py:1910(_run_once)
        4    0.000    0.000    0.001    0.000 response.py:912(stream)
        1    0.000    0.000    0.001    0.001 queues.py:1(<module>)
      382    0.000    0.000    0.001    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
      439    0.000    0.000    0.001    0.000 enum.py:48(_is_dunder)
      383    0.000    0.000    0.001    0.000 socket.py:89(<lambda>)
        2    0.000    0.000    0.001    0.000 feedparser.py:171(feed)
       39    0.000    0.000    0.001    0.000 typing.py:361(_flatten_literal_params)
       30    0.000    0.000    0.001    0.000 _inspect.py:140(formatargspec)
      724    0.000    0.000    0.001    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.001    0.001 chebyshev.py:1(<module>)
        2    0.000    0.000    0.001    0.000 response.py:841(read)
        1    0.000    0.000    0.001    0.001 constants.py:1(<module>)
      381    0.000    0.000    0.001    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.001    0.001 _legacy.py:1(<module>)
        8    0.000    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
       11    0.000    0.000    0.001    0.000 __init__.py:2149(getLogger)
      118    0.000    0.000    0.001    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.001    0.001 events.py:86(_run)
     1042    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
  666/509    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        4    0.000    0.000    0.000    0.000 feedparser.py:176(_call_parse)
        1    0.000    0.000    0.000    0.000 {method 'run' of '_contextvars.Context' objects}
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        2    0.000    0.000    0.000    0.000 structures.py:76(copy)
        1    0.000    0.000    0.000    0.000 initial_code.py:179(spectrum_loop)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       20    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
    90/77    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 imports.py:70(__getattr__)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 imports.py:10(import_name)
        2    0.000    0.000    0.000    0.000 models.py:611(prepare_cookies)
       44    0.000    0.000    0.000    0.000 typing.py:977(_typevar_subst)
        4    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
      881    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 base_events.py:411(__init__)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
        2    0.000    0.000    0.000    0.000 cookies.py:140(get_cookie_header)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
       59    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
      432    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
        2    0.000    0.000    0.000    0.000 sessions.py:391(__init__)
       85    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      339    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      489    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       37    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      123    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      412    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 adapters.py:294(build_response)
       86    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       28    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
        2    0.000    0.000    0.000    0.000 weakref.py:585(__call__)
      309    0.000    0.000    0.000    0.000 types.py:192(__init__)
       86    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      555    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 connectionpool.py:1174(_close_pool_connections)
        4    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
      341    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
      661    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
      111    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
        6    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       14    0.000    0.000    0.000    0.000 connection.py:305(putheader)
        9    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
        4    0.000    0.000    0.000    0.000 response.py:799(_raw_read)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
     1191    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      848    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       14    0.000    0.000    0.000    0.000 utils.py:340(to_key_val_list)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        2    0.000    0.000    0.000    0.000 models.py:495(prepare_body)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       22    0.000    0.000    0.000    0.000 queue.py:122(put)
        2    0.000    0.000    0.000    0.000 models.py:484(prepare_headers)
      949    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
       81    0.000    0.000    0.000    0.000 typing.py:961(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 selector_events.py:118(_make_self_pipe)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
      348    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      344    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      182    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       39    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        4    0.000    0.000    0.000    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
      123    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
        2    0.000    0.000    0.000    0.000 connectionpool.py:259(_get_conn)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        2    0.000    0.000    0.000    0.000 events.py:783(get_event_loop_policy)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
  144/142    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       28    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       24    0.000    0.000    0.000    0.000 queue.py:154(get)
        2    0.000    0.000    0.000    0.000 functools.py:904(wrapper)
      171    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       14    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       12    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
       10    0.000    0.000    0.000    0.000 shutil.py:1461(get_terminal_size)
      457    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 events.py:775(_init_event_loop_policy)
        2    0.000    0.000    0.000    0.000 adapters.py:370(request_url)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      359    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       44    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:104(find_spec)
        4    0.000    0.000    0.000    0.000 utils.py:836(select_proxy)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.000    0.000 models.py:254(CharsetMatches)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        4    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        6    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
      191    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       10    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       14    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
        1    0.000    0.000    0.000    0.000 structures.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        2    0.000    0.000    0.000    0.000 connectionpool.py:239(_new_conn)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
       58    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 _collections.py:242(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      172    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connection.py:285(putrequest)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:58(Month)
       65    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
      641    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
      312    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
        2    0.000    0.000    0.000    0.000 typing.py:1519(__getitem__)
       14    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.000    0.000 parse.py:164(hostname)
        1    0.000    0.000    0.000    0.000 sslproto.py:23(SSLProtocolState)
       19    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      256    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
       16    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       89    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
        1    0.000    0.000    0.000    0.000 models.py:14(CharsetMatch)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
        4    0.000    0.000    0.000    0.000 adapters.py:135(__init__)
       17    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fd6ac8107c0}
      350    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sslproto.py:31(AppProtocolState)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       45    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        2    0.000    0.000    0.000    0.000 _collections.py:337(extend)
        1    0.000    0.000    0.000    0.000 selector_events.py:278(_add_reader)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
        2    0.000    0.000    0.000    0.000 models.py:106(_encode_params)
        1    0.000    0.000    0.000    0.000 taskgroups.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 typing.py:1533(__getitem_inner__)
      241    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
       33    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 readers.py:17(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 constants.py:38(_SendfileMode)
        2    0.000    0.000    0.000    0.000 response.py:539(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 linalg.py:97(_determine_error_states)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
        4    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
       86    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      160    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       16    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
       45    0.000    0.000    0.000    0.000 threading.py:394(notify)
        1    0.000    0.000    0.000    0.000 threading.py:882(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1244(Absent)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1895(parse_args)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
        1    0.000    0.000    0.000    0.000 functools.py:774(_find_impl)
        1    0.000    0.000    0.000    0.000 argparse.py:1902(parse_known_args)
    274/1    0.003    0.000    0.000    0.000 {built-in method builtins.exec}
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        6    0.000    0.000    0.000    0.000 locale.py:381(normalize)
        1    0.000    0.000    0.000    0.000 runners.py:14(_State)
       13    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        6    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        1    0.000    0.000    0.000    0.000 coroutines.py:10(_is_debug_mode)
        1    0.000    0.000    0.000    0.000 protocols.py:1(<module>)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      183    0.000    0.000    0.000    0.000 typing.py:1598(_value_and_type_iter)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
      2/1    0.000    0.000    0.000    0.000 initial_code.py:1(<module>)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        1    0.000    0.000    0.000    0.000 functools.py:732(_compose_mro)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        2    0.000    0.000    0.000    0.000 models.py:589(prepare_auth)
        2    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
        5    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
        4    0.000    0.000    0.000    0.000 response.py:755(_fp_read)
        4    0.000    0.000    0.000    0.000 parse.py:509(urlunparse)
        2    0.000    0.000    0.000    0.000 argparse.py:1497(add_argument_group)
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:312(_get_module_info)
        1    0.000    0.000    0.000    0.000 calendar.py:75(Day)
       10    0.000    0.000    0.000    0.000 argparse.py:1875(_add_action)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:65(_DTypeDictBase)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
        1    0.000    0.000    0.000    0.000 pathlib.py:731(parent)
        2    0.000    0.000    0.000    0.000 feedparser.py:182(close)
        2    0.000    0.000    0.000    0.000 typing.py:1515(copy_with)
        1    0.000    0.000    0.000    0.000 threading.py:1043(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 typing.py:1264(__ror__)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      102    0.000    0.000    0.000    0.000 typing.py:1293(<genexpr>)
        1    0.000    0.000    0.000    0.000 netrc.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8406(_replace_return_type)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unix_events.py:1446(__init__)
       98    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      155    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 connection.py:270(close)
        2    0.000    0.000    0.000    0.000 utils.py:1016(get_auth_from_url)
        2    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        6    0.000    0.000    0.000    0.000 message.py:620(get_content_maintype)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        6    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
        2    0.000    0.000    0.000    0.000 socket.py:946(getaddrinfo)
        2    0.000    0.000    0.000    0.000 utils.py:659(requote_uri)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
       44    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        2    0.000    0.000    0.000    0.000 models.py:85(path_url)
        4    0.000    0.000    0.000    0.000 client.py:463(read)
        1    0.000    0.000    0.000    0.000 socks.py:241(socksocket)
       11    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        2    0.000    0.000    0.000    0.000 client.py:261(__init__)
      480    0.000    0.000    0.000    0.000 typing.py:774(<genexpr>)
        2    0.000    0.000    0.000    0.000 argparse.py:1674(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       39    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       10    0.000    0.000    0.000    0.000 argparse.py:1696(_add_action)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       46    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       32    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1721(_parse_hextet)
        1    0.000    0.000    0.000    0.000 base_tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 timeouts.py:18(_State)
        8    0.000    0.000    0.000    0.000 utils.py:1032(check_header_validity)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      160    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        3    0.000    0.000    0.000    0.000 socket.py:500(close)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
        6    0.000    0.000    0.000    0.000 url.py:263(_remove_path_dot_segments)
       14    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        1    0.000    0.000    0.000    0.000 locks.py:438(_BarrierState)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
      309    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       10    0.000    0.000    0.000    0.000 argparse.py:1587(_get_optional_kwargs)
