         255434 function calls (248113 primitive calls) in 0.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      430    0.008    0.000    0.013    0.000 _compiler.py:243(_optimize_charset)
     3334    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      848    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:162(__enter__)
    96/84    0.000    0.000    0.012    0.000 typing.py:508(__getitem__)
        1    0.001    0.001    0.012    0.012 packages.py:1(<module>)
      228    0.002    0.000    0.012    0.000 typing.py:1242(__init__)
        1    0.000    0.000    0.012    0.012 _policybase.py:1(<module>)
       84    0.001    0.000    0.012    0.000 typing.py:687(Union)
       13    0.002    0.000    0.012    0.001 enum.py:919(_convert_)
        1    0.000    0.000    0.012    0.012 secrets.py:1(<module>)
        1    0.000    0.000    0.011    0.011 socket.py:1(<module>)
      271    0.011    0.000    0.011    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
       19    0.004    0.000    0.010    0.001 enum.py:1708(convert_class)
       24    0.004    0.000    0.010    0.000 __init__.py:355(namedtuple)
      586    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:632(cached)
      848    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.009    0.009 _array_like.py:1(<module>)
      315    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        2    0.000    0.000    0.009    0.005 shape_base.py:1(<module>)
      273    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
1900/1845    0.005    0.000    0.009    0.000 {built-in method __new__ of type object at 0x935660}
      848    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:124(setdefault)
22552/22544    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
       11    0.001    0.000    0.008    0.001 typing.py:2780(__new__)
        1    0.000    0.000    0.008    0.008 _dtype_like.py:1(<module>)
      501    0.003    0.000    0.008    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.008    0.008 parse.py:1(<module>)
        2    0.000    0.000    0.008    0.004 socks.py:1(<module>)
       12    0.000    0.000    0.008    0.001 typing.py:2761(_make_nmtuple)
      278    0.002    0.000    0.008    0.000 overrides.py:83(verify_matching_signatures)
     6721    0.004    0.000    0.007    0.000 _parser.py:261(get)
        1    0.000    0.000    0.007    0.007 hmac.py:1(<module>)
        2    0.000    0.000    0.007    0.004 cookies.py:1(<module>)
        1    0.000    0.000    0.007    0.007 staggered.py:1(<module>)
     6166    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
19274/18222    0.006    0.000    0.007    0.000 {built-in method builtins.len}
       33    0.001    0.000    0.007    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.007    0.007 __init__.py:32(__enter__)
      846    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
      417    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.006    0.006 certs.py:1(<module>)
    16330    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    45/12    0.000    0.000    0.006    0.001 typing.py:1267(__getitem__)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
      449    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       86    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
     1544    0.003    0.000    0.005    0.000 typing.py:1188(__setattr__)
        2    0.000    0.000    0.005    0.003 subprocess.py:1(<module>)
      605    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
      315    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      372    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.005    0.003 models.py:1(<module>)
        1    0.000    0.000    0.005    0.005 header.py:1(<module>)
        3    0.000    0.000    0.005    0.002 response.py:1(<module>)
       24    0.005    0.000    0.005    0.000 {built-in method builtins.eval}
      317    0.001    0.000    0.005    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.005    0.005 sslproto.py:1(<module>)
        2    0.000    0.000    0.005    0.002 sessions.py:459(prepare_request)
     7972    0.004    0.000    0.005    0.000 {built-in method builtins.getattr}
      341    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:232(__init__)
      542    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.005    0.005 events.py:1(<module>)
      769    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
  944/171    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
        2    0.000    0.000    0.004    0.002 polynomial.py:1(<module>)
        1    0.001    0.001    0.004    0.004 getlimits.py:162(_register_known_types)
